Jahr;Monat;Typ;Elektrizitätserzeugung (brutto);;Elektrizitätserzeugung (netto);data_quality
;;Dieselkraftstoff;1111;e;1096;e
;;Heizöl, leicht;79129;e;72640;e
;;Heizöl, schwer;43843;e;40383;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;73307;e;67701;e
;;Sonstige Mineralölprodukte;118128;e;107893;e
;;Erdgas, Erdölgas;5112078;e;4903033;e
;;Grubengas;30412;e;27507;e
;;Kokereigas;2809;e;2520;e
;;Hochofengas;332486;e;313509;e
;;Sonstige hergestellte Gase;24050;e;22246;e
;;Wasserstoff;-;;-;
;;Laufwasser;1555787;e;1532480;e
;;Speicherwasser;236666;e;231898;e
;;Pumpspeicherwasser;372128;e;367633;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;16179;e;15029;e
;;Photovoltaik;114;e;105;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;15560;e;14069;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;1633;e;1549;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;1508;e;1457;e
;;Deponiegas;12505;e;11879;e
;;Sonstige erneuerbare Energien;22939;e;20932;e
;;Klärschlamm;4349;e;3852;e
;;Abfall (Hausmüll, Industrie);309297;e;221174;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;14926452;e;14231180;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;56732;e;52137;e
;;Andere Speicher;-;;-;
;;Insgesamt;49559166;e;46441544;e
;Februar;Steinkohlen;12794132;e;11811168;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12140756;e;11206728;e
;;Hartbraunkohlen;36325;e;32713;e
;;Braunkohlenbriketts;2247;e;2061;e
;;Braunkohlenkoks;4391;e;3868;e
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;38644;e;34043;e
;;Sonstige Braunkohlen;41789;e;35444;e
;;Dieselkraftstoff;902;e;889;e
;;Heizöl, leicht;60658;e;56200;e
;;Heizöl, schwer;39820;e;36847;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;59004;e;53485;e
;;Sonstige Mineralölprodukte;182080;e;166468;e
;;Erdgas, Erdölgas;5147772;e;4958347;e
;;Grubengas;22566;e;20608;e
;;Kokereigas;4056;e;3656;e
;;Hochofengas;299191;e;281733;e
;;Sonstige hergestellte Gase;20887;e;19201;e
;;Wasserstoff;-;;-;
;;Laufwasser;1259283;e;1240062;e
;;Speicherwasser;137681;e;134526;e
;;Pumpspeicherwasser;340899;e;335545;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;6851;e;6072;e
;;Photovoltaik;151;e;136;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;21524;e;20016;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;1467;e;1393;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;1470;e;1433;e
;;Deponiegas;10753;e;10233;e
;;Sonstige erneuerbare Energien;17764;e;16132;e
;;Klärschlamm;4019;e;3564;e
;;Abfall (Hausmüll, Industrie);313609;e;227933;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;13546850;e;12854361;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;50503;e;46802;e
;;Andere Speicher;-;;-;
;;Insgesamt;46608043;e;43621667;e
;März;Steinkohlen;12195173;e;11246366;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;13322598;e;12233023;e
;;Hartbraunkohlen;48876;e;44056;e
;;Braunkohlenbriketts;2582;e;2399;e
;;Braunkohlenkoks;5620;e;4951;e
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;57952;e;52966;e
;;Sonstige Braunkohlen;27435;e;23901;e
;;Dieselkraftstoff;146;e;134;e
;;Heizöl, leicht;36900;e;34342;e
;;Heizöl, schwer;35836;e;32710;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;40335;e;36584;e
;;Sonstige Mineralölprodukte;78818;e;71950;e
;;Erdgas, Erdölgas;4225864;e;4067969;e
;;Grubengas;36922;e;33398;e
;;Kokereigas;5920;e;5315;e
;;Hochofengas;311682;e;294211;e
;;Sonstige hergestellte Gase;23772;e;21776;e
;;Wasserstoff;-;;-;
;;Laufwasser;1392472;e;1373453;e
;;Speicherwasser;120082;e;117567;e
;;Pumpspeicherwasser;410792;e;404081;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;12640;e;12484;e
;;Photovoltaik;222;e;209;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;22249;e;20647;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;1579;e;1488;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;1657;e;1605;e
;;Deponiegas;11002;e;10571;e
;;Sonstige erneuerbare Energien;16078;e;14595;e
;;Klärschlamm;11836;e;10587;e
;;Abfall (Hausmüll, Industrie);357593;e;267193;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;14759262;e;14011499;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;57643;e;50793;e
;;Andere Speicher;-;;-;
;;Insgesamt;47631538;e;44502825;e
;April;Steinkohlen;10706616;e;9863963;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12723638;e;11749455;e
;;Hartbraunkohlen;46797;e;42174;e
;;Braunkohlenbriketts;3023;e;2777;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;55299;e;49947;e
;;Sonstige Braunkohlen;31920;e;28489;e
;;Dieselkraftstoff;275;e;242;e
;;Heizöl, leicht;42623;e;39001;e
;;Heizöl, schwer;71871;e;65154;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;21972;e;19880;e
;;Sonstige Mineralölprodukte;67190;e;61685;e
;;Erdgas, Erdölgas;3374258;e;3238685;e
;;Grubengas;31783;e;28878;e
;;Kokereigas;6959;e;6276;e
;;Hochofengas;303482;e;287762;e
;;Sonstige hergestellte Gase;25189;e;23315;e
;;Wasserstoff;-;;-;
;;Laufwasser;1242908;e;1225469;e
;;Speicherwasser;116559;e;114044;e
;;Pumpspeicherwasser;388336;e;382859;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;19501;e;18877;e
;;Photovoltaik;251;e;242;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;25401;e;23528;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;1434;e;1356;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;1569;e;1527;e
;;Deponiegas;10009;e;9434;e
;;Sonstige erneuerbare Energien;12757;e;11586;e
;;Klärschlamm;13524;e;12130;e
;;Abfall (Hausmüll, Industrie);362064;e;267743;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;13416265;e;12713136;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;56076;e;51643;e
;;Andere Speicher;-;;-;
;;Insgesamt;43179551;e;40341257;e
;Mai;Steinkohlen;9752761;e;8998381;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;13173648;e;12188118;e
;;Hartbraunkohlen;61284;e;54881;e
;;Braunkohlenbriketts;1906;e;1745;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;43893;e;40085;e
;;Sonstige Braunkohlen;45408;e;39377;e
;;Dieselkraftstoff;275;e;270;e
;;Heizöl, leicht;36683;e;33771;e
;;Heizöl, schwer;79626;e;72482;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;24231;e;18862;e
;;Sonstige Mineralölprodukte;56986;e;52209;e
;;Erdgas, Erdölgas;2510458;e;2414463;e
;;Grubengas;31071;e;28352;e
;;Kokereigas;6280;e;5658;e
;;Hochofengas;314947;e;297029;e
;;Sonstige hergestellte Gase;19610;e;17812;e
;;Wasserstoff;-;;-;
;;Laufwasser;1513730;e;1492876;e
;;Speicherwasser;127158;e;125105;e
;;Pumpspeicherwasser;418996;e;413303;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;13912;e;13549;e
;;Photovoltaik;242;e;236;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;23394;e;21972;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;1200;e;1113;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;1518;e;1484;e
;;Deponiegas;11026;e;10520;e
;;Sonstige erneuerbare Energien;7747;e;6986;e
;;Klärschlamm;9252;e;8294;e
;;Abfall (Hausmüll, Industrie);353353;e;259631;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;12208855;e;11557277;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;57587;e;52638;e
;;Andere Speicher;-;;-;
;;Insgesamt;40907037;e;38228477;e
;Juni;Steinkohlen;8930861;e;8224726;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12010924;e;11052861;e
;;Hartbraunkohlen;37585;e;29422;e
;;Braunkohlenbriketts;1635;e;1500;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;13597;e;11906;e
;;Sonstige Braunkohlen;36860;e;32027;e
;;Dieselkraftstoff;255;e;248;e
;;Heizöl, leicht;40014;e;36502;e
;;Heizöl, schwer;81902;e;75392;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;33774;e;31178;e
;;Sonstige Mineralölprodukte;89977;e;82706;e
;;Erdgas, Erdölgas;2948782;e;2831786;e
;;Grubengas;32186;e;29368;e
;;Kokereigas;6533;e;5892;e
;;Hochofengas;296729;e;282568;e
;;Sonstige hergestellte Gase;9314;e;8041;e
;;Wasserstoff;-;;-;
;;Laufwasser;1289305;e;1272934;e
;;Speicherwasser;128674;e;127026;e
;;Pumpspeicherwasser;425028;e;418404;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;11358;e;11308;e
;;Photovoltaik;355;e;351;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;18664;e;16987;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;1061;e;971;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;1335;e;1266;e
;;Deponiegas;9979;e;9468;e
;;Sonstige erneuerbare Energien;3911;e;3554;e
;;Klärschlamm;3819;e;3397;e
;;Abfall (Hausmüll, Industrie);386516;e;284706;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;12493562;e;11823701;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;60206;e;53751;e
;;Andere Speicher;-;;-;
;;Insgesamt;39404698;e;36763946;e
;Juli;Steinkohlen;10976205;e;10158492;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12090356;e;11153115;e
;;Hartbraunkohlen;50173;e;45173;e
;;Braunkohlenbriketts;1678;e;1534;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;45386;e;40083;e
;;Sonstige Braunkohlen;57595;e;50077;e
;;Dieselkraftstoff;335;e;329;e
;;Heizöl, leicht;41663;e;38100;e
;;Heizöl, schwer;60827;e;55515;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;46811;e;43883;e
;;Sonstige Mineralölprodukte;36819;e;33734;e
;;Erdgas, Erdölgas;3153994;e;3035324;e
;;Grubengas;30845;e;28164;e
;;Kokereigas;5215;e;4703;e
;;Hochofengas;314116;e;295850;e
;;Sonstige hergestellte Gase;28587;e;26277;e
;;Wasserstoff;-;;-;
;;Laufwasser;1070170;e;1055166;e
;;Speicherwasser;100799;e;99349;e
;;Pumpspeicherwasser;520356;e;510952;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;11717;e;11594;e
;;Photovoltaik;305;e;290;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;20768;e;19106;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;1232;e;1127;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;1306;e;1275;e
;;Deponiegas;10633;e;9653;e
;;Sonstige erneuerbare Energien;21335;e;19455;e
;;Klärschlamm;4938;e;4387;e
;;Abfall (Hausmüll, Industrie);393355;e;290249;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;12210312;e;11522579;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;65709;e;60024;e
;;Andere Speicher;-;;-;
;;Insgesamt;41373539;e;38615558;e
;August;Steinkohlen;10363603;e;9569367;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12197896;e;11249066;e
;;Hartbraunkohlen;66768;e;60137;e
;;Braunkohlenbriketts;291;e;267;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;37982;e;33370;e
;;Sonstige Braunkohlen;20361;e;18761;e
;;Dieselkraftstoff;108;e;108;e
;;Heizöl, leicht;122441;e;110293;e
;;Heizöl, schwer;52000;e;47773;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;52523;e;48175;e
;;Sonstige Mineralölprodukte;14995;e;13862;e
;;Erdgas, Erdölgas;2675394;e;2558684;e
;;Grubengas;25605;e;23534;e
;;Kokereigas;744;e;675;e
;;Hochofengas;306713;e;289142;e
;;Sonstige hergestellte Gase;26106;e;23696;e
;;Wasserstoff;-;;-;
;;Laufwasser;838152;e;826165;e
;;Speicherwasser;92036;e;90445;e
;;Pumpspeicherwasser;526629;e;518101;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;10510;e;10291;e
;;Photovoltaik;392;e;376;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;19417;e;17792;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;1297;e;1210;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;1288;e;1242;e
;;Deponiegas;10131;e;9006;e
;;Sonstige erneuerbare Energien;21043;e;19200;e
;;Klärschlamm;9781;e;8798;e
;;Abfall (Hausmüll, Industrie);398733;e;297764;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;13156425;e;12406022;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;53548;e;49217;e
;;Andere Speicher;-;;-;
;;Insgesamt;41102911;e;38302540;e
;September;Steinkohlen;10769729;e;9956882;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12268433;e;11300642;e
;;Hartbraunkohlen;48905;e;43758;e
;;Braunkohlenbriketts;1545;e;1402;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;45633;e;41474;e
;;Sonstige Braunkohlen;14793;e;13959;e
;;Dieselkraftstoff;237;e;230;e
;;Heizöl, leicht;36192;e;33224;e
;;Heizöl, schwer;46061;e;42463;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;71073;e;65588;e
;;Sonstige Mineralölprodukte;35886;e;32932;e
;;Erdgas, Erdölgas;3291043;e;3158610;e
;;Grubengas;14883;e;13828;e
;;Kokereigas;2171;e;1964;e
;;Hochofengas;309268;e;291808;e
;;Sonstige hergestellte Gase;22827;e;20984;e
;;Wasserstoff;-;;-;
;;Laufwasser;808467;e;796292;e
;;Speicherwasser;107783;e;106194;e
;;Pumpspeicherwasser;467560;e;461570;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;10417;e;10280;e
;;Photovoltaik;269;e;252;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;30211;e;28043;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;1434;e;1344;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;1413;e;1380;e
;;Deponiegas;10121;e;8988;e
;;Sonstige erneuerbare Energien;9346;e;8506;e
;;Klärschlamm;9499;e;8634;e
;;Abfall (Hausmüll, Industrie);359072;e;265349;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;13823695;e;13093306;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;42876;e;37810;e
;;Andere Speicher;-;;-;
;;Insgesamt;42660841;e;39847694;e
;Oktober;Steinkohlen;11952354;e;10999500;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12889707;e;11898028;e
;;Hartbraunkohlen;64026;e;57412;e
;;Braunkohlenbriketts;1255;e;1135;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;43568;e;38863;e
;;Sonstige Braunkohlen;35970;e;30650;e
;;Dieselkraftstoff;749;e;708;e
;;Heizöl, leicht;52257;e;47033;e
;;Heizöl, schwer;57661;e;53395;e
;;Flüssiggas;4;e;4;e
;;Raffineriegas;-;;-;
;;Petrolkoks;94597;e;86819;e
;;Sonstige Mineralölprodukte;124957;e;114265;e
;;Erdgas, Erdölgas;4716464;e;4526305;e
;;Grubengas;19704;e;18087;e
;;Kokereigas;4517;e;4079;e
;;Hochofengas;320662;e;302541;e
;;Sonstige hergestellte Gase;28953;e;26890;e
;;Wasserstoff;-;;-;
;;Laufwasser;1223068;e;1205982;e
;;Speicherwasser;120692;e;118166;e
;;Pumpspeicherwasser;494247;e;487086;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;16191;e;15069;e
;;Photovoltaik;299;e;293;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;29317;e;27191;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;1677;e;1580;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;1598;e;1565;e
;;Deponiegas;9432;e;8491;e
;;Sonstige erneuerbare Energien;11686;e;10669;e
;;Klärschlamm;9480;e;8508;e
;;Abfall (Hausmüll, Industrie);382863;e;284179;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;14919544;e;14151663;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;58198;e;51382;e
;;Andere Speicher;-;;-;
;;Insgesamt;47685698;e;44577537;e
;November;Steinkohlen;10669837;e;9835301;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;13334318;e;12341322;e
;;Hartbraunkohlen;60358;e;54053;e
;;Braunkohlenbriketts;1503;e;1366;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;40213;e;37600;e
;;Sonstige Braunkohlen;52095;e;45355;e
;;Dieselkraftstoff;1036;e;1024;e
;;Heizöl, leicht;45665;e;42084;e
;;Heizöl, schwer;34137;e;31873;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;97191;e;88967;e
;;Sonstige Mineralölprodukte;62126;e;56922;e
;;Erdgas, Erdölgas;4548343;e;4394736;e
;;Grubengas;22779;e;20842;e
;;Kokereigas;4380;e;3948;e
;;Hochofengas;309928;e;290829;e
;;Sonstige hergestellte Gase;21580;e;20003;e
;;Wasserstoff;-;;-;
;;Laufwasser;867566;e;852685;e
;;Speicherwasser;95955;e;93676;e
;;Pumpspeicherwasser;381532;e;375724;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;17558;e;16987;e
;;Photovoltaik;118;e;111;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;27387;e;25545;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;1688;e;1601;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;1650;e;1594;e
;;Deponiegas;10376;e;9995;e
;;Sonstige erneuerbare Energien;9964;e;9103;e
;;Klärschlamm;8333;e;7492;e
;;Abfall (Hausmüll, Industrie);354029;e;259767;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;14695116;e;13948621;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;45263;e;41035;e
;;Andere Speicher;-;;-;
;;Insgesamt;45822024;e;42910162;e
;Dezember;Steinkohlen;10418194;e;9604736;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;13923099;e;12863273;e
;;Hartbraunkohlen;26398;e;23544;e
;;Braunkohlenbriketts;1609;e;1458;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;50523;e;46373;e
;;Sonstige Braunkohlen;46601;e;39552;e
;;Dieselkraftstoff;1804;e;1787;e
;;Heizöl, leicht;64184;e;59301;e
;;Heizöl, schwer;37315;e;34607;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;102242;e;94080;e
;;Sonstige Mineralölprodukte;46337;e;42504;e
;;Erdgas, Erdölgas;5059067;e;4885776;e
;;Grubengas;15273;e;14213;e
;;Kokereigas;4682;e;4219;e
;;Hochofengas;307229;e;289560;e
;;Sonstige hergestellte Gase;24796;e;23107;e
;;Wasserstoff;-;;-;
;;Laufwasser;950008;e;933444;e
;;Speicherwasser;100851;e;98189;e
;;Pumpspeicherwasser;429414;e;423291;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;26422;e;25714;e
;;Photovoltaik;199;e;189;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;22506;e;20332;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;1854;e;1767;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;1897;e;1771;e
;;Deponiegas;10363;e;9943;e
;;Sonstige erneuerbare Energien;6471;e;5974;e
;;Klärschlamm;9127;e;8247;e
;;Abfall (Hausmüll, Industrie);350720;e;257257;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;14903581;e;14142496;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;43869;e;39693;e
;;Andere Speicher;-;;-;
;;Insgesamt;46986635;e;43996399;e
2004;Januar;Steinkohlen;11944021;e;11015992;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;13591757;e;12548456;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;4206;e;3614;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;47872;e;43102;e
;;Sonstige Braunkohlen;43717;e;38177;e
;;Dieselkraftstoff;1222;e;1203;e
;;Heizöl, leicht;61452;e;56761;e
;;Heizöl, schwer;39290;e;35449;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;104353;e;96515;e
;;Sonstige Mineralölprodukte;51895;e;47501;e
;;Erdgas, Erdölgas;5344785;e;5154898;e
;;Grubengas;20509;e;18802;e
;;Kokereigas;3258;e;2928;e
;;Hochofengas;308513;e;291084;e
;;Sonstige hergestellte Gase;28500;e;26534;e
;;Wasserstoff;-;;-;
;;Laufwasser;1229611;e;1215118;e
;;Speicherwasser;172037;e;169086;e
;;Pumpspeicherwasser;500094;e;493120;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;30411;e;29679;e
;;Photovoltaik;103;e;100;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
