,Biomass,Hard coal,Hydropower,Lignite,Mineral oil,Natural gas,Nuclear,Other,Solar,Wind,Year,Cost,GWP,Variable,Perturbation,Cost_Sensitivity,GWP_Sensitivity,Cost_Normalized_Sensitivity,GWP_Normalized_Sensitivity
267,7.32358092296988,11.864562798406693,4.104651103801449,4.645267033617596,0.5777704255876465,7.485448417998315,9.171616296893188,9.827103000725232,15.0,30.0,2033.0,9.873388079583338,25.0954532523,Wind,-10%,0.0,0.0,,
268,6.924112872626068,11.21740482758451,3.880761043594097,4.391888831783909,0.5462556751010476,7.077151231562044,8.67134631706265,9.291079200685674,15.0,33.0,2033.0,10.060835134166672,25.095015633699994,Wind,+10%,0.018985079191908394,-1.7438162826027666e-05,0.18985079191908394,-0.00017438162826027666
269,4.609624573403324,6.599871301686982,3.0740505091250485,4.3493048587121725,1.4475724549581626,17.391243303764803,10.02770694996033,7.500626048389178,15.0,30.0,2034.0,9.47235121125,24.571303405599938,Biomass,0%,,,,
270,4.183726495081403,6.65565323386677,3.1000323001598864,4.386065064717385,1.4598072978538363,17.53823361768878,10.112460855518835,7.564021135113104,15.0,30.0,2034.0,9.456476949642862,24.558834795949938,Biomass,-10%,-0.0016758523045771949,-0.0005074460008970585,0.01813825973343447,0.0054922425680499435
271,5.028442968428701,6.5450166298861525,3.048500612154463,4.313155715845489,1.4355409912682031,17.24669640276803,9.944361904502493,7.4382847751464745,15.0,30.0,2034.0,9.534659118630954,24.571303405599938,Biomass,+10%,0.006577871321636818,0.0,0.07239776868698629,0.0
272,4.609624573403324,6.599871301686982,3.0740505091250485,4.3493048587121725,1.4475724549581626,17.391243303764803,10.02770694996033,7.500626048389178,15.0,30.0,2034.0,9.47235121125,24.571303405599938,Hard coal,0%,,,,
273,4.665610811401524,6.012027089799985,3.111386418087217,4.402129381201822,1.4651539596322167,17.60246881056791,10.149498557701213,7.5917249716081185,15.0,30.0,2034.0,9.49033382821429,24.558834795949938,Hard coal,-10%,0.0018984322438268563,-0.0005074460008970585,-0.021314164928170884,0.005697220846532932
274,4.554966046691114,7.173774812744054,3.037600019678,4.297733067557834,1.4304078949300618,17.18502700099645,9.908803625088916,7.4116875323135645,15.0,30.0,2034.0,9.48385213625,24.571303405599938,Hard coal,+10%,0.0012141573663717964,0.0,0.013962769356976778,0.0
275,4.609624573403324,6.599871301686982,3.0740505091250485,4.3493048587121725,1.4475724549581626,17.391243303764803,10.02770694996033,7.500626048389178,15.0,30.0,2034.0,9.47235121125,24.571303405599938,Hydropower,0%,,,,
276,4.635533416785023,6.636966520434597,2.78219565817527,4.373750549811142,1.4557086767744833,17.48899247873451,10.0840686524606,7.542784046824379,15.0,30.0,2034.0,9.433874461964285,24.696483124749943,Hydropower,-10%,-0.004062006193353331,0.005094549405200679,0.042784322981479585,-0.05365990026156783
